ID,Street,District,Price (USD/mo),URL,Rooms,Building (m²),Land (m²),Bathrooms,Floors,Building type,Condition,Ceiling (m),Facilities,Amenities,Photo count,AI Score,AI Summary,Description,Lat,Lng
45490,Sose St,Arabkir,3714,https://besthouse.am/en/estates/45490,8,400,240,3,4,New construction,Renovated,3.0,Heating; Gas; Hot water; Central heating; Air conditioning; Internet; Drinking water; Permanent water; Electricity,Furniture; Technique; Open balcony; Close to transport stop; Tile; Euro windows,11,7,"The property has a generous interior space and a lovely grassy yard with a decorative fence, making it suitable for a dog. The interiors are modern and well-lit, though some furniture seems outdated and ornate. The proximity to transport and green space is a plus, but the overall style may not fully align with ""Western"" preferences.",,40.194467690686025,44.50418993054194
47373,Khnko-Aper St,Arabkir,2500,https://besthouse.am/en/estates/47373,7,300,200,4,3,Stone,Renovated,3.2,Heating; Gas; Hot water; Central heating; Air conditioning; Internet; Drinking water; Permanent water; Electricity,Furniture; Technique; Close to transport stop; Sunny side; Euro windows; Storage room; gate; Fence; Parking; Garage; Iron door,13,7,"The house offers spacious rooms and a decent-sized yard with a brick barbecue, though some areas lack grass for a dog. The interior is modern with ample natural light, but the kitchen style is somewhat traditional. The location seems urban with limited greenery nearby. The property is mostly suitable but has some minor compromises regarding the yard and surrounding environment.",,40.19584042145011,44.50425475761108
48204,Jrvej district,Nor Norq,5000,https://besthouse.am/en/estates/48204,5,700,2000,3,4,Stone,Renovated,3.0,Heating; Gas; Hot water; Internet; Air conditioning,Furniture; Technique; Open balcony; Euro windows; Basement; Close to transport stop; Beautiful paysage; Sunny side; Close to the road; Parking; Signal system; gate; Fence,7,9,"This property is impressive with its vast 2000 m² yard, ideal for a dog, and its modern interiors featuring large, bright rooms and sleek finishes. The panoramic windows offer stunning views, adding a great sense of space and light. While the outdoor patio and fence are mostly concrete, the overall spaciousness and contemporary style make it a strong candidate.",,40.18702563142026,44.59424813140163
48918,Aygedzor St,Arabkir,2500,https://besthouse.am/en/estates/48918,4,511,600,3,3,Monolith,Renovated,2.8,Heating; Gas; Hot water; Internet; Air conditioning; Central heating; Drinking water; Permanent water; Electricity,Furniture; Close to transport stop; Beautiful paysage; Sunny side; Euro windows; Garage; gate; Fence; Iron door; Swimming pool; Open balcony,9,7,"The property boasts a spacious area and a nice yard with a small pool, suitable for a dog. However, the interior features dark wood furniture and a somewhat traditional decor that might not align with your preference for modern style. The kitchen is large, but the wood cabinets give a dated look. The yard is a mix of grass and concrete, offering a decent outdoor space.",,40.187992550426465,44.503802479682435
49792,Mar alley,Nor Norq,2000,https://besthouse.am/en/estates/49792,5,175,450,2,2,Monolith,Renovated,3.0,Heating; Gas; Hot water; Central heating; Air conditioning; Permanent water; Electricity; Internet; Drinking water,Technique; Furniture; Euro windows; Laminat; Fireplace; Fence; Iron door; gate; Garage,13,8,"The house offers a spacious open-plan living area with a high ceiling and abundant natural light, ideal for a toddler. The modern kitchen has sleek gray cabinets, and the property boasts tasteful decor, though the wallpaper is quite bold. The yard is ample for a dog but isn't fully visible for assessment. Overall, a strong candidate with minor decor compromises.",,40.18582144084921,44.56995067744783
49952,Arabkir 27 St,Arabkir,3500,https://besthouse.am/en/estates/49952,5,490,600,1,4,Monolith,Renovated,3.2,Heating; Gas; Hot water; Central heating; Air conditioning; Internet; Drinking water; Permanent water; Electricity,Furniture; Technique; Euro windows; Tile; Parquet; Sunny side; Fireplace; Playground; Garage; Fence; Iron door,6,9,"This spacious home offers a large, lush yard perfect for a dog and outdoor activities. The interior is modern with a sleek style, featuring light colors and parquet flooring. It's located in a green area, making it ideal for family walks. The sunny rooms and renovated condition make it a very attractive option.",,40.20643791954782,44.51274732585002
50076,Kond St,Center,3000,https://besthouse.am/en/estates/50076,5,220,35,2,2,Stone,Renovated,3.0,Heating; Permanent water; Internet; Gas; Drinking water; Electricity; Air conditioning; Hot water,Furniture; Tile; Parking; Technique; Iron door; Signal system; Sunny side; Euro windows; Laminat; Close to transport stop,17,6,"The property offers spacious living areas and a modern renovation with quality parquet flooring. However, the yard is quite small and may not be ideal for a dog. While the interior is updated, the kitchen design is basic. The proximity to green areas isn't evident, which might impact outdoor activities with a stroller or dog.","Two-story stone house next to Dvin Hotel.
The total area is 250 square meters, fully renovated. 

It consists of 2 living rooms, 3 bedrooms, kitchen, 2 bathrooms, open terrace, garage, winter garden, open garden with its pavilion. Cooling is done by an air conditioner, heating is installed in a new baxi. The floor of the house is completely covered with quality parquet.
The house is furnished and equipped with necessary appliances, dishes and bedding.",40.182073840446414,44.504161295100864
51167,Malkhasiants St,Arabkir,4245,https://besthouse.am/en/estates/51167,10,420,1300,5+,3,Monolith,Renovated,3.0,Heating; Gas; Central heating; Air conditioning; Internet; Hot water; Drinking water; Permanent water; Electricity,Furniture; Technique; Fence; Swimming pool; Euro windows,6,9,"This property is a great fit with a large land area and a spacious swimming pool surrounded by a patio, perfect for a dog. The modern interior features a simple dining area and a clean, functional bathroom. There's a well-fenced terrace with exceptional views for outdoor dining and relaxation. The fenced grassy yard meets the outdoor needs of a family with pets.",,40.20500702246597,44.508152895327534
52137,Verin Antarayin st,Center,5000,https://besthouse.am/en/estates/52137,5,350,400,3,2,New construction,Renovated,3.0,Heating; Gas; Hot water; Air conditioning; Internet,Technique; Furniture; Euro windows; Sunny side; Beautiful paysage; Close to transport stop; Elevator; Open balcony; Basement,8,8,"The interiors are modern and bright, with a sleek kitchen featuring glossy tiles, and elegant lighting. The bedrooms are spacious and tastefully designed. Although the yard wasn't shown, the generous building and land area likely support good outdoor space. The black marble accents are stylish, but may show dirt easily for a toddler.",,40.194685177364214,44.51388568787912
54218,V.Papazyan St,Arabkir,3000,https://besthouse.am/en/estates/54218,6,444,404,4,3,Stone,Renovated,3.0,Heating; Electricity; Gas; Permanent water; Hot water; Drinking water; Internet; Air conditioning,Open balcony; Beautiful paysage; Sunny side,30,8,"The property offers a spacious interior with modern finishes, and ample natural light through large windows. The yard is decently sized and has a real grass area suitable for a dog. The interior appears cluttered with ongoing setup, but the overall layout is modern and bright. The house is well-suited for a family, with enough outdoor space and modern amenities.",,40.19544214562395,44.50831045395676
56632,Ghapantsian St,Arabkir,3100,https://besthouse.am/en/estates/56632,5,310,500,3,3,New construction,Renovated,3.0,Heating; Gas; Air conditioning; Internet; Hot water,Furniture; Technique; Open balcony; Sunny side; Beautiful paysage; Close to transport stop; High ground first floor; Basement; Signal system; Close to the road; Fence; gate; Iron door,12,8,"The house is spacious with modern interiors and plenty of natural light, featuring large windows and elegant decor. The kitchen and bathrooms are stylish, with dark themes and quality finishes. However, the yard seems to have minimal greenery, which might not be ideal for a dog. It's located near public transport but lacks immediate green areas visible from the photos.",,40.22050240098604,44.525465798538654
58070,V. Davtyan St,Arabkir,3500,https://besthouse.am/en/estates/58070,5,490,600,3,4,Monolith,Renovated,3.0,Heating; Permanent water; Internet; Gas; Drinking water; Electricity; Air conditioning; Hot water,Furniture; Tile; Parking; Close to transport stop; Technique; Iron door; Signal system; Sunny side; Euro windows; Open balcony; Laminat,16,7,"The house is spacious with a good-sized yard suitable for a dog. The interior is mostly modern with light tiles and bright walls, though some rooms have traditional furniture that might feel dated. The presence of multiple balconies and a terrace adds value, but the yard lacks grass and has a concrete driveway. Overall, it's a strong candidate with some minor compromises.","In one of the busy parts of Arabkir, a fully renovated 4-story house is for rent.

• On the first floor of the house there is one bedroom, two bathrooms and a spacious living room and kitchen.
• On the second floor there is one living room, kitchen, bedroom and two bathrooms.
• On the third floor there is a living room, kitchen, bathroom and bedroom.
• On the fourth floor there is a storage room from which there is an exit to a spacious terrace.

• The floors of the house are tiled and covered with high-quality microfibre.
• Heating is carried out through an individual system.
• The bathrooms are tiled and equipped with the necessary plumbing.
• Euro aluminum windows are installed.",40.1984032287809,44.509486524270386
58481,Azatutyan Ave,Arabkir,5000,https://besthouse.am/en/estates/58481,5,280,1200,2,2,Monolith,Renovated,2.8,Heating; Gas; Hot water; Air conditioning; Central heating; Electricity; Permanent water; Drinking water; Internet; Irrigation; Sewage,Furniture; Technique; Open balcony; Logha; Basement; High ground first floor; Storage room; Euro windows; Tile; Heated floor; Laminat; Parquet; Sunny side; Beautiful paysage; Close to transport stop; Close to the road; The park; Playground; Garage; Parking; Signal system; Grilles; Turbo bake; Fireplace; Fence; gate; Double-sided; Iron door; Swimming pool; Saunas,14,9,"This property features an expansive yard with lush grass, perfect for a dog and family activities. The modern interiors have a sleek kitchen with wood accents and spacious rooms, meeting their preference for Western-style aesthetics. With a swimming pool, gazebo, and beautiful garden, it's ideal for outdoor living, though the kitchen layout might feel slightly narrow.",,40.20895161810176,44.52901702773322
59515,Khorenatsi dead end,Center,2388,https://besthouse.am/en/estates/59515,5,214,413,2,1,Stone,Renovated,3.0,Heating; Gas; Hot water; Central heating; Air conditioning; Internet; Drinking water; Permanent water; Electricity,Furniture; Technique; Euro windows; Fence; Sunny side; Close to transport stop,7,9,"This property offers a spacious, single-story layout with a well-maintained grass yard perfect for a dog. The interior is modern, featuring a sleek kitchen and bright living spaces. The outdoor area is beautifully landscaped with a barbecue setup, making it ideal for family gatherings. Overall, it's a great fit with excellent outdoor and indoor amenities.","A comfortable one-story stone house is for rent on Khorenatsi Street in the center, 2 bathrooms, the detached house has a beautifully maintained yard, is equipped with the necessary furniture and appliances.",40.1801129333675,44.512164780444536
61482,Ghapantsian St,Arabkir,2653,https://besthouse.am/en/estates/61482,6,200,550,3,2,New construction,Renovated,3.0,Heating; Gas; Hot water; Internet; Central heating; Air conditioning; Drinking water; Permanent water; Electricity,Furniture; Technique; Open balcony; Elevator; Close to transport stop; Beautiful paysage; Sunny side; Euro windows,10,9,"This modern townhouse offers a spacious 200 m² interior with a sleek, open kitchen and living area. The large yard is perfect for a dog, featuring green grass and a covered outdoor seating area. The interior is bathed in natural light, and the inclusion of Euro windows and modern fixtures make it move-in ready for a family with a young child.","For rent a two-story townhouse on Ghapantsyan Street in Arabkir, 200 square meters, 3+ bathrooms, fully renovated, the house is equipped with the necessary furniture and appliances.",40.2219846750334,44.5126062463296
61683,Sundukyan St,Arabkir,4000,https://besthouse.am/en/estates/61683,7,600,850,4,3,Monolith,Renovated,3.0,Heating; Permanent water; Internet; Gas; Drinking water; Electricity; Air conditioning; Hot water,Furniture; Tile; Parking; Close to transport stop; Technique; Iron door; Signal system; Sunny side; Euro windows; Gym; Swimming pool; Laminat; Open balcony; Garage,22,8,"The property is spacious with a large building and yard area, which is suitable for a dog. The yard with grass and a real fence is a strong advantage. However, the interior features some dated furniture and wood cabinets, which may not match a strictly modern style preference. Overall, it’s a strong candidate with minor aesthetic compromises.","A spacious luxury house is for rent in Arabkir community, on Sundukyan Street.

* Building area 600 sq m
* Land area 850 sq m
* Ceiling 3 m

It consists of:
* lobby
* living room
* kitchen
* 5 bedrooms
* 3 bathrooms
* open balcony
* study
* garage

There is a swimming pool, pavilion, summer kitchen in the yard.

The house has been fully renovated and is equipped with the necessary furniture and appliances. Heating is provided by an individual boiler room. There is a garage and a place for 2 more cars. It has a security system, cameras. There is a gym. All communication facilities are located nearby.",40.19866015209302,44.49842132638486
62108,N. Zaryan St,Arabkir,3979,https://besthouse.am/en/estates/62108,5,293,75,4,2,New construction,Good,3.2,Heating; Irrigation; Drinking water; Permanent water; Central heating; Sewage; Gas; Internet; Electricity; Hot water; Air conditioning,Furniture; Technique; Euro windows; Close to the road; Open balcony; Iron door; Signal system; Sunny side; Parking; Turbo bake; Basement; High ground first floor; Fireplace; Garage; Attic; Beautiful paysage; Building availability; Storage room,19,7,"The house offers a modern interior with ample natural light and spacious rooms with a sleek kitchen featuring light wood cabinets and high-end appliances. However, the yard is modest in size and seems insufficient for a larger dog. The house is well-lit and child-friendly, but the outdoor space might not fully meet your needs for a pet-friendly environment.","For rent is a 293 sq m residential townhouse with a 75 sq m adjoining house, fully renovated and partially furnished.
First floor: 107 sq m.
Second floor: 90 sq m.
Basement: 90 sq m.
There is also a garage with a total area of 21 sq m.
Renovated with high-quality and quality building materials.
All utilities are available.",40.20422332631024,44.51792776999867
62593,Ghapantsian St,Arabkir,5000,https://besthouse.am/en/estates/62593,6,580,1000,4,3,New construction,Renovated,3.0,Heating; Gas; Hot water; Internet; Air conditioning; Central heating; Drinking water; Permanent water; Electricity,Furniture; Technique; Open balcony; Sunny side; Euro windows; Playground; Fence; Beautiful paysage,8,9,"This property offers impressive space both inside and out, ideal for a family with a dog and toddler. The rooms are spacious and filled with natural light, with modern, sleek interiors like marble floors and contemporary lighting. The large, grassy yard is perfect for pets, and the surrounding green areas provide a beautiful view and recreational options. A solid fence enhances privacy and safety.",A modern 3-story detached house is for rent on Ghapantsyan Street. The detached house has a beautifully maintained yard and a beautiful view.,40.22357188231724,44.526308877586004
62639,Aygedzor alley,Arabkir,5000,https://besthouse.am/en/estates/62639,5,230,400,3,2,Monolith,Renovated,3.0,Gas; Heating; Hot water; Central heating; Air conditioning; Internet; Drinking water; Permanent water; Electricity,Furniture; Technique; Beautiful paysage; Euro windows; Fence; Iron door,5,7,"The property offers spacious interiors with large windows and beautiful views, creating a bright and modern atmosphere. The kitchen is sleek, with bold colors and modern appliances. However, the outdoor space features gravel instead of grass, which isn’t ideal for a dog. The lack of greenery in the yard is a notable drawback, but the overall modern design is appealing.",,40.20710186083639,44.511365353876656
62656,Aygedzor St,Arabkir,5000,https://besthouse.am/en/estates/62656,6,230,400,3,2,Monolith,Renovated,3.8,Heating; Permanent water; Internet; Gas; Drinking water; Electricity; Air conditioning; Hot water,Furniture; Tile; Parking; Close to transport stop; Technique; Iron door; Signal system; Sunny side; Euro windows; Open balcony; Laminat; Beautiful paysage; Logha,8,8,"The house is spacious and modern with a sleek interior, featuring vibrant colors and impressive architectural details like the spiral staircase. The large windows provide excellent natural light and beautiful views of the Hrazdan Gorge. However, the small gravel courtyard might not be ideal for a dog or child play, lacking a grassy yard. Overall, this is a strong candidate with minor compromises.","The house is located on Aygedzor Street, from where a wonderful view of the Hrazdan Gorge opens. It has 2 inner courtyards with a total area of 115 square meters. The residential area is 230 square meters, which includes a living room with a kitchen, a laundry room, 3 bathrooms, and 4 bedrooms, a boiler room - pantry. All rooms on the first floor have exits to the inner courtyard. The ceiling height of the living room is 3.9 m and that of the bedrooms is 3 m. The house is gasified.",40.1925221176769,44.49602842990034
62879,Aygedzor St,Arabkir,4500,https://besthouse.am/en/estates/62879,8,700,300,4,4,Monolith,Renovated,3.0,Heating; Permanent water; Internet; Gas; Drinking water; Electricity; Air conditioning; Hot water,Tile; Parking; Close to transport stop; Technique; Swimming pool; Saunas; Iron door; Signal system; Sunny side; Euro windows; Open balcony; Laminat; Beautiful paysage,7,6,"The house is spacious with 700 m² of living area and offers luxury amenities like an indoor pool and sauna. However, the outdoor space is minimal and not well-suited for a dog. The interior has some dated elements, particularly in the kitchen with heavy wood cabinets, and the yard is limited in size with sparse greenery.","A 4-storey house is for rent in Aygedzor district.

Total land area: 300 sq m
Total construction area: 700 sq m

Facade: 20 m
Ceiling height: 3 m
It consists of:
Spacious living room
3 kitchens
6 bedrooms with their own bathrooms
2 shared bathrooms
Sauna
Dressing room
1 hall
2 storage areas
1 indoor swimming pool with the possibility of using it for 12 months
There is an elevator

The house has 3 terraces, a guardhouse
There are fan coil heating and cooling systems, the floor is heated.
There is a garage for 2 cars
Three-phase electricity
2-ton water tank",40.192317504479455,44.49486731274198
